DateOfMatch,Penalty1,Penalty2,Penalty3,Penalty4,Penalty5,Penalty6,Penalty7,Penalty8,MatchID,PenaltiesID
11/04/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1827
19/04/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1828
03/05/2014,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1829
10/05/2014,Joe Ford,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,1000,1830
01/02/2015,Joe Ford,Joe Ford,Joe Ford,Joe Ford,NULL,NULL,NULL,NULL,1000,1831
07/02/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1832
15/02/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1833
21/02/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1834
28/02/2015,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1835
06/03/2015,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1836
29/03/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1837
12/04/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1838
25/04/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1839
09/05/2015,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1840
16/05/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1841
17/01/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1842
25/01/2015,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1843
26/10/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1844
02/12/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1845
02/09/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , ,1000,1846
10/09/2005,Daniel Larrechea,Daniel Larrechea, , , , , , ,1000,1847
16/09/2005,Charlie Hodgson, , , , , , , ,1000,1848
25/09/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , ,1000,1849
14/10/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , ,1000,1850
05/11/2005,Daniel Larrechea,Daniel Larrechea, , , , , , ,1000,1851
11/11/2005,Valentin Courrent,Valentin Courrent, , , , , , ,1000,1852
18/11/2005,Valentin Courrent,Daniel Larrechea,Daniel Larrechea,Daniel Larrechea, , , , ,1000,1853
27/11/2005, , , , , , , , ,1000,1854
26/12/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , ,1000,1855
02/01/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , , ,1000,1856
08/01/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, ,1000,1857
28/01/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , ,1000,1859
11/02/2006,Valentin Courrent,Valentin Courrent, , , , , , ,1000,1860
17/02/2006,Valentin Courrent,Charlie Hodgson,Charlie Hodgson, , , , , ,1000,1861
26/02/2006,Richard Wigglesworth,Richard Wigglesworth,Richard Wigglesworth, , , , , ,1000,1862
10/03/2006,Valentin Courrent,Valentin Courrent,Valentin Courrent, , , , , ,1000,1863
