ScoresID,DateOfMatch,HomeTeam,HomeScore,AwayTeam,AwayScore,Result,Competition,MatchID
1258,18/02/2012,11,24,1,17,L,1,NULL
1259,24/02/2012,1,46,3,34,W,1,NULL
1260,03/03/2012,13,37,1,12,L,1,NULL
1261,23/03/2012,1,9,2,45,L,1,NULL
1262,30/03/2012,8,22,1,19,L,1,NULL
1263,13/04/2012,1,16,5,9,L,1,NULL
1264,21/04/2012,6,19,1,24,W,1,NULL
1265,05/05/2012,1,10,24,24,W,1,NULL
1267,01/09/2012,13,43,1,6,L,1,NULL
1266,08/09/2012,1,16,2,23,L,1,NULL
1268,15/09/2012,24,37,1,14,L,1,NULL
1269,21/09/2012,1,19,59,29,L,1,NULL
1270,29/09/2012,5,31,1,10,L,1,NULL
1271,05/10/2012,1,8,4,20,L,1,NULL
1272,14/10/2012,1,34,23,33,W,2,NULL
1273,21/10/2012,113,33,1,18,L,2,NULL
1274,26/10/2012,10,23,1,16,L,1,NULL
1275,02/11/2012,1,21,7,9,W,1,NULL
1276,11/11/2012,7,34,1,28,L,3,NULL
1277,16/11/2012,1,25,2,25,W,3,NULL
1278,24/11/2012,6,29,1,3,L,1,NULL
1279,30/11/2012,1,16,11,27,L,1,NULL
1280,08/12/2012,1,6,51,17,L,2,NULL
1281,16/12/2012,51,62,1,0,L,2,NULL
1282,23/12/2012,3,25,1,18,L,1,NULL
1283,28/12/2012,1,33,10,27,W,1,NULL
1284,06/01/2013,2,32,1,12,L,1,NULL
1285,11/01/2013,1,32,113,27,L,2,NULL
1286,19/01/2013,23,26,1,14,L,2,NULL
1287,26/01/2013,1,36,38,17,W,3,NULL
1288,02/02/2013,3,30,1,33,W,3,NULL
1289,08/02/2013,1,21,13,16,W,1,NULL
1290,17/02/2013,59,25,1,26,W,1,NULL
1291,22/02/2013,1,21,24,30,L,1,NULL
1292,02/03/2013,4,48,1,10,L,1,NULL
1293,10/03/2013,1,21,2,15,W,3,NULL
1294,17/03/2013,24,32,1,14,L,3,NULL
1295,22/03/2013,1,14,5,13,W,1,NULL
1296,31/03/2013,7,33,1,33,D,1,NULL
1297,12/04/2013,1,32,6,9,W,1,NULL
1298,20/04/2013,11,47,1,7,L,1,NULL
1299,04/05/2013,1,21,3,20,W,1,NULL
1315,07/09/2013,6,15,1,22,W,1,NULL
1316,13/09/2013,1,14,8,15,L,1,NULL
1317,20/09/2013,1,26,3,22,W,1,NULL
1318,27/09/2013,13,33,1,14,L,1,NULL
1319,04/10/2013,1,19,5,13,W,1,NULL
1320,10/10/2013,1,33,40,10,W,4,NULL
1321,19/10/2013,10,15,1,29,W,4,NULL
1322,26/10/2013,24,24,1,3,L,1,NULL
1323,01/11/2013,1,16,13,18,L,1,NULL
1324,08/11/2013,1,20,5,27,L,3,NULL
1325,15/11/2013,24,26,1,31,W,3,NULL
1326,22/11/2013,1,26,10,10,W,1,NULL
1327,30/11/2013,2,24,1,19,L,1,NULL
1328,05/12/2013,118,16,1,10,L,3,NULL
1329,13/12/2013,1,53,118,14,W,3,NULL
1330,20/12/2013,1,15,7,3,W,1,NULL
1331,28/12/2013,4,30,1,23,L,1,NULL
1197,03/01/2014,3,41,1,16,L,1,NULL
1332,10/01/2014,1,21,10,3,W,4,NULL
1333,18/01/2014,40,7,1,9,W,4,NULL
1334,25/01/2014,1,20,10,6,W,3,NULL
1335,31/01/2014,18,37,1,36,L,3,NULL
1336,07/02/2014,1,24,6,19,W,1,NULL
1337,14/02/2014,1,10,2,15,L,1,NULL
1338,22/02/2014,10,12,1,24,W,1,NULL
1339,01/03/2014,3,17,1,21,W,1,NULL
1340,22/03/2014,1,19,13,6,W,1,NULL
1341,28/03/2014,5,11,1,12,W,1,NULL
1342,03/04/2014,1,14,13,28,W,3,NULL
1343,11/04/2014,1,12,24,27,L,1,NULL
1344,19/04/2014,13,12,1,55,W,1,NULL
1345,03/05/2014,1,22,3,42,L,1,NULL
1346,10/05/2014,7,22,1,20,L,1,NULL
1149,06/09/2014,1,20,5,29,L,1,NULL
1195,13/09/2014,6,34,1,27,L,1,NULL
1347,20/09/2014,1,46,7,8,W,1,NULL
1350,27/09/2014,2,40,1,19,L,1,NULL
1196,05/10/2014,1,25,3,14,W,1,NULL
1351,11/10/2014,11,43,1,10,L,1,NULL
1352,18/10/2014,1,26,26,27,L,2,NULL
1010,26/10/2014,114,35,1,3,L,2,NULL
1353,01/11/2014,1,32,3,29,W,3,NULL
1348,09/11/2014,4,29,1,8,L,3,NULL
1354,15/11/2014,1,36,7,8,W,1,NULL
1355,21/11/2014,24,12,1,16,W,1,NULL
1349,30/11/2014,8,13,1,18,W,1,NULL
1004,06/12/2014,1,15,2,28,L,2,NULL
1005,13/12/2014,2,28,1,15,L,2,NULL
1006,19/12/2014,1,18,4,11,W,1,NULL
1007,27/12/2014,1,30,4,32,L,1,NULL
1198,04/01/2015,3,41,1,16,L,1,NULL
1220,10/01/2015,1,20,11,7,W,1,NULL
1162,17/01/2015,1,13,114,22,L,4,NULL
1221,25/01/2015,26,65,1,10,L,4,NULL
1303,01/02/2015,8,39,1,19,L,3,NULL
1304,07/02/2015,1,38,38,3,W,3,NULL
1305,15/02/2015,59,12,1,52,W,1,NULL
1306,21/02/2015,1,14,2,10,W,1,NULL
1307,28/02/2015,4,28,1,8,L,1,NULL
1308,06/03/2015,5,12,1,3,L,1,NULL
1309,29/03/2015,1,23,6,6,W,1,NULL
1310,12/04/2015,59,25,1,23,L,1,NULL
1311,25/04/2015,1,23,24,25,L,1,NULL
1312,09/05/2015,1,34,8,28,W,1,NULL
1313,16/05/2015,13,44,1,16,L,1,NULL
1136,17/10/2015,2,41,1,3,L,1,NULL
1137,23/10/2015,1,27,10,13,W,1,NULL
1138,01/11/2015,1,20,11,13,W,1,NULL
1139,06/11/2015,24,16,1,14,L,1,NULL
1140,15/11/2015,21,30,1,12,L,4,NULL
1302,21/11/2015,1,29,99,20,W,4,NULL
1141,28/11/2015,1,15,8,15,D,1,NULL
1142,04/12/2015,5,23,1,19,L,1,NULL
1143,12/12/2015,72,10,1,17,W,4,NULL
1144,19/12/2015,1,31,72,10,W,4,NULL
1192,26/12/2015,13,33,1,17,L,1,NULL
1145,02/01/2016,1,15,3,9,W,1,NULL
1146,15/01/2016,99,3,1,27,W,4,NULL
1147,21/01/2016,1,38,21,5,W,4,NULL
1148,30/01/2016,1,38,7,10,W,1,NULL
1193,06/02/2016,4,3,1,10,W,1,NULL
1080,13/02/2016,1,23,13,17,W,1,NULL
1150,20/02/2016,10,31,1,23,L,1,NULL
1151,27/02/2016,1,36,2,36,D,1,NULL
1152,05/03/2016,1,29,24,23,W,1,NULL
1194,12/03/2016,11,26,1,11,L,1,NULL
1153,20/03/2016,3,39,1,12,L,1,NULL
1154,27/03/2016,1,27,3,20,W,1,NULL
1155,02/04/2016,7,15,1,30,W,1,NULL
1156,08/04/2016,1,19,113,25,L,4,NULL
1157,17/04/2016,1,29,5,17,W,1,NULL
1158,23/04/2016,5,32,1,26,L,1,NULL
1159,29/04/2016,1,11,6,12,L,1,NULL
1160,07/05/2016,8,15,1,21,W,1,NULL
1065,02/09/2016,8,19,1,17,L,1,NULL
1066,09/09/2016,1,19,24,10,W,1,NULL
1067,16/09/2016,1,13,6,26,L,1,NULL
1068,24/09/2016,10,34,1,34,D,1,NULL
1069,01/10/2016,1,34,4,30,W,1,NULL
1070,07/10/2016,5,30,1,3,L,1,NULL
1071,15/10/2016,38,28,1,11,L,4,NULL
1072,21/10/2016,1,5,51,15,L,4,NULL
1073,30/10/2016,12,13,1,3,W,1,NULL
1074,04/11/2016,1,17,3,13,W,2,NULL
1075,11/11/2016,12,26,1,11,L,2,NULL
1076,20/11/2016,1,13,2,28,L,1,NULL
1077,27/11/2016,3,34,1,24,L,1,NULL
1078,02/12/2016,1,3,13,21,L,1,NULL
1079,10/12/2016,2,50,1,3,L,4,NULL
1301,18/12/2016,1,10,2,24,L,4,NULL
1081,23/12/2016,11,24,1,5,L,1,NULL
