DateOfMatch,SinBin1,SinBin2,SinBin3,SinBin4,SinBin5,MatchesID,SinBinsID
20/02/2009,NULL,NULL,NULL,NULL,NULL,NULL,1258
01/03/2009,NULL,NULL,NULL,NULL,NULL,NULL,1259
08/03/2009,NULL,NULL,NULL,NULL,NULL,NULL,1260
14/03/2009,David Doherty,NULL,NULL,NULL,NULL,NULL,1261
22/03/2009,Rudi Keil,NULL,NULL,NULL,NULL,NULL,1262
27/03/2009,Sebastien Bruno,NULL,NULL,NULL,NULL,NULL,1263
04/04/2009,NULL,NULL,NULL,NULL,NULL,NULL,1264
17/04/2009,NULL,NULL,NULL,NULL,NULL,NULL,1265
25/04/2009,NULL,NULL,NULL,NULL,NULL,NULL,1266
03/08/2009,NULL,NULL,NULL,NULL,NULL,NULL,1267
04/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,1268
13/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,1269
18/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,1270
26/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,1271
02/10/2009,NULL,NULL,NULL,NULL,NULL,NULL,1272
11/10/2009,NULL,NULL,NULL,NULL,NULL,NULL,1273
16/10/2009,NULL,NULL,NULL,NULL,NULL,NULL,1274
24/10/2009,Andy Tuilagi,Brent Cockbain,NULL,NULL,NULL,NULL,1275
30/10/2009,NULL,NULL,NULL,NULL,NULL,NULL,1276
06/11/2009,Sisa Koyamaibole,NULL,NULL,NULL,NULL,NULL,1277
13/11/2009,NULL,NULL,NULL,NULL,NULL,NULL,1278
22/11/2009,Sisa Koyamaibole,Marc Jones,NULL,NULL,NULL,NULL,1279
05/12/2009,NULL,NULL,NULL,NULL,NULL,NULL,1280
13/12/2009,NULL,NULL,NULL,NULL,NULL,NULL,1281
20/12/2009,NULL,NULL,NULL,NULL,NULL,NULL,1282
27/12/2009,Rob O'Donnell,NULL,NULL,NULL,NULL,NULL,1283
01/01/2010,NULL,NULL,NULL,NULL,NULL,NULL,1284
16/01/2010,Martin Halsall,NULL,NULL,NULL,NULL,NULL,1285
24/01/2010,Sisa Koyamaibole,Chris Jones,NULL,NULL,NULL,NULL,1286
29/01/2010,NULL,NULL,NULL,NULL,NULL,NULL,1287
06/02/2010,NULL,NULL,NULL,NULL,NULL,NULL,1288
14/02/2010,Eifion Lewis-Roberts,NULL,NULL,NULL,NULL,NULL,1289
19/02/2010,NULL,NULL,NULL,NULL,NULL,NULL,1290
27/02/2010,NULL,NULL,NULL,NULL,NULL,NULL,1291
07/03/2010,NULL,NULL,NULL,NULL,NULL,NULL,1292
19/03/2010,NULL,NULL,NULL,NULL,NULL,NULL,1293
28/03/2010,NULL,NULL,NULL,NULL,NULL,NULL,1294
02/04/2010,NULL,NULL,NULL,NULL,NULL,NULL,1295
09/04/2010,NULL,NULL,NULL,NULL,NULL,NULL,1296
17/04/2010,NULL,NULL,NULL,NULL,NULL,NULL,1297
23/04/2010,NULL,NULL,NULL,NULL,NULL,NULL,1298
08/05/2010,NULL,NULL,NULL,NULL,NULL,NULL,1299
03/09/2010,Chris Leck,NULL,NULL,NULL,NULL,NULL,1300
12/09/2010,NULL,NULL,NULL,NULL,NULL,NULL,1301
17/09/2010,NULL,NULL,NULL,NULL,NULL,NULL,1302
25/09/2010,NULL,NULL,NULL,NULL,NULL,NULL,1303
01/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,1304
08/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,1305
16/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,1306
22/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,1307
31/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,1308
05/11/2010,Karena Wihongi,NULL,NULL,NULL,NULL,NULL,1309
14/11/2010,NULL,NULL,NULL,NULL,NULL,NULL,1310
19/11/2010,NULL,NULL,NULL,NULL,NULL,NULL,1311
27/11/2010,NULL,NULL,NULL,NULL,NULL,NULL,1312
11/12/2010,NULL,NULL,NULL,NULL,NULL,NULL,1313
20/12/2010,NULL,NULL,NULL,NULL,NULL,NULL,1314
27/12/2010,NULL,NULL,NULL,NULL,NULL,NULL,1315
02/01/2011,NULL,NULL,NULL,NULL,NULL,NULL,1316
07/01/2011,NULL,NULL,NULL,NULL,NULL,NULL,1317
14/01/2011,NULL,NULL,NULL,NULL,NULL,NULL,1318
22/01/2011,Neil McMillan,Sean Cox,NULL,NULL,NULL,NULL,1319
28/01/2011,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1320
06/02/2011,NULL,NULL,NULL,NULL,NULL,NULL,1321
11/02/2011,NULL,NULL,NULL,NULL,NULL,NULL,1322
19/02/2011,Ben Cohen,NULL,NULL,NULL,NULL,NULL,1323
25/02/2011,Sean Cox,NULL,NULL,NULL,NULL,NULL,1324
06/03/2011,Henry Thomas,NULL,NULL,NULL,NULL,NULL,1325
25/03/2011,Mark Cueto,NULL,NULL,NULL,NULL,NULL,1326
02/04/2011,Neil Briggs,NULL,NULL,NULL,NULL,NULL,1327
08/04/2011,NULL,NULL,NULL,NULL,NULL,NULL,1328
16/04/2011,NULL,NULL,NULL,NULL,NULL,NULL,1329
22/04/2011,NULL,NULL,NULL,NULL,NULL,NULL,1330
07/05/2011,NULL,NULL,NULL,NULL,NULL,NULL,1331
03/09/2011,NULL,NULL,NULL,NULL,NULL,NULL,1332
09/09/2011,NULL,NULL,NULL,NULL,NULL,NULL,1333
17/09/2011,NULL,NULL,NULL,NULL,NULL,NULL,1334
23/09/2011,Dwayne Peel,NULL,NULL,NULL,NULL,NULL,1335
01/10/2011,NULL,NULL,NULL,NULL,NULL,NULL,1336
08/10/2011,Henry Thomas,NULL,NULL,NULL,NULL,NULL,1337
15/10/2011,James Gaskell,Alasdair Dickinson,Richie Vernon,NULL,NULL,NULL,1338
21/10/2011,NULL,NULL,NULL,NULL,NULL,NULL,1339
28/10/2011,NULL,NULL,NULL,NULL,NULL,NULL,1340
06/11/2011,NULL,NULL,NULL,NULL,NULL,NULL,1341
12/11/2011,David Seymour,Fraser Mackenzie,NULL,NULL,NULL,NULL,1342
18/11/2011,NULL,NULL,NULL,NULL,NULL,NULL,1343
25/11/2011,Henry Thomas,NULL,NULL,NULL,NULL,NULL,1344
03/12/2011,NULL,NULL,NULL,NULL,NULL,NULL,1345
08/12/2011,NULL,NULL,NULL,NULL,NULL,NULL,1346
18/12/2011,NULL,NULL,NULL,NULL,NULL,NULL,1347
26/12/2011,NULL,NULL,NULL,NULL,NULL,NULL,1348
01/01/2012,NULL,NULL,NULL,NULL,NULL,NULL,1349
08/01/2012,NULL,NULL,NULL,NULL,NULL,NULL,1350
14/01/2012,NULL,NULL,NULL,NULL,NULL,NULL,1351
19/01/2012,NULL,NULL,NULL,NULL,NULL,NULL,1352
29/01/2012,Johnny Leota,NULL,NULL,NULL,NULL,NULL,1353
04/02/2012,NULL,NULL,NULL,NULL,NULL,NULL,1354
10/02/2012,NULL,NULL,NULL,NULL,NULL,NULL,1355
18/02/2012,Sam Tuitupou,Andrew Sheridan,NULL,NULL,NULL,NULL,1356
24/02/2012,NULL,NULL,NULL,NULL,NULL,NULL,1357
03/03/2012,NULL,NULL,NULL,NULL,NULL,NULL,1358
23/03/2012,NULL,NULL,NULL,NULL,NULL,NULL,1359
30/03/2012,NULL,NULL,NULL,NULL,NULL,NULL,1360
13/04/2012,Andrew Sheridan,NULL,NULL,NULL,NULL,NULL,1361
21/04/2012,Rob Miller,NULL,NULL,NULL,NULL,NULL,1362
05/05/2012,NULL,NULL,NULL,NULL,NULL,NULL,1363
01/09/2012,NULL,NULL,NULL,NULL,NULL,NULL,1364
08/09/2012,NULL,NULL,NULL,NULL,NULL,NULL,1365
15/09/2012,NULL,NULL,NULL,NULL,NULL,NULL,1366
21/09/2012,NULL,NULL,NULL,NULL,NULL,NULL,1367
29/09/2012,Tom Brady,Andy Powell,NULL,NULL,NULL,NULL,1368
05/10/2012,Joe Ward,NULL,NULL,NULL,NULL,NULL,1369
14/10/2012,NULL,NULL,NULL,NULL,NULL,NULL,1370
21/10/2012,NULL,NULL,NULL,NULL,NULL,NULL,1371
26/10/2012,NULL,NULL,NULL,NULL,NULL,NULL,1372
02/11/2012,NULL,NULL,NULL,NULL,NULL,NULL,1373
11/11/2012,NULL,NULL,NULL,NULL,NULL,NULL,1374
16/11/2012,NULL,NULL,NULL,NULL,NULL,NULL,1375
24/11/2012,NULL,NULL,NULL,NULL,NULL,NULL,1376
30/11/2012,NULL,NULL,NULL,NULL,NULL,NULL,1377
08/12/2012,NULL,NULL,NULL,NULL,NULL,NULL,1378
16/12/2012,NULL,NULL,NULL,NULL,NULL,NULL,1379
23/12/2012,NULL,NULL,NULL,NULL,NULL,NULL,1380
28/12/2012,Fraser McKenzie,NULL,NULL,NULL,NULL,NULL,1381
06/01/2013,NULL,NULL,NULL,NULL,NULL,NULL,1382
11/01/2013,NULL,NULL,NULL,NULL,NULL,NULL,1383
19/01/2013,NULL,NULL,NULL,NULL,NULL,NULL,1384
26/01/2013,NULL,NULL,NULL,NULL,NULL,NULL,1385
02/02/2013,Aston Croall,NULL,NULL,NULL,NULL,NULL,1386
08/02/2013,Kearnan Myall,NULL,NULL,NULL,NULL,NULL,1387
17/02/2013,NULL,NULL,NULL,NULL,NULL,NULL,1388
22/02/2013,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,1389
02/03/2013,Tom Brady,NULL,NULL,NULL,NULL,NULL,1390
10/03/2013,NULL,NULL,NULL,NULL,NULL,NULL,1391
17/03/2013,NULL,NULL,NULL,NULL,NULL,NULL,1392
22/03/2013,NULL,NULL,NULL,NULL,NULL,NULL,1393
31/03/2013,NULL,NULL,NULL,NULL,NULL,NULL,1394
12/04/2013,NULL,NULL,NULL,NULL,NULL,NULL,1395
20/04/2013,Tom Holmes,NULL,NULL,NULL,NULL,NULL,1396
04/05/2013,NULL,NULL,NULL,NULL,NULL,NULL,1397
07/09/2013,Ross Harrison,NULL,NULL,NULL,NULL,NULL,1398
13/09/2013,NULL,NULL,NULL,NULL,NULL,NULL,1399
20/09/2013,NULL,NULL,NULL,NULL,NULL,NULL,1400
27/09/2013,NULL,NULL,NULL,NULL,NULL,NULL,1401
04/10/2013,NULL,NULL,NULL,NULL,NULL,NULL,1402
10/10/2013,NULL,NULL,NULL,NULL,NULL,NULL,1403
19/10/2013,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,1404
26/10/2013,NULL,NULL,NULL,NULL,NULL,NULL,1405
01/11/2013,Tommy Taylor,Vadim Cobilas,Kirill Kulemin,NULL,NULL,NULL,1406
08/11/2013,Michael Paterson,NULL,NULL,NULL,NULL,NULL,1407
15/11/2013,Viliami Fihaki,NULL,NULL,NULL,NULL,NULL,1408
22/11/2013,NULL,NULL,NULL,NULL,NULL,NULL,1409
30/11/2013,NULL,NULL,NULL,NULL,NULL,NULL,1410
05/12/2013,NULL,NULL,NULL,NULL,NULL,NULL,1411
13/12/2013,NULL,NULL,NULL,NULL,NULL,NULL,1412
20/12/2013,NULL,NULL,NULL,NULL,NULL,NULL,1413
28/12/2013,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,1414
03/01/2014,NULL,NULL,NULL,NULL,NULL,NULL,1415
